reaction,v
EX_ac,20.899807775460406
EX_co2,8.427020782557209
EX_h,2.305051198817111
EX_h2o,-9.53824920636846
EX_nh3,-3.071688623802059
EX_pi,-0.27245612969742544
EX_so4,-0.06654605150027897
EX_succ,-15.724824
biomass_EX,0.28560537124583246
