rxn,lb,ub
G1PP,-100.0,100.0
G3PD2,-100.0,99.95564794042129
G3PD5,0.0,60.66469885594976
G3PD6,-100.0,100.0
G3PD7,-100.0,100.0
G5SADs,-99.93025915906824,100.0
G5SD,-100.0,100.0
G6PDA,-100.0,99.98065809636756
G6PDH2r,-100.0,100.0
GALU,0.005319023498572,99.9034516643695
GAPD,-100.0,99.30492990144896
GARFT,-99.8678010436855,99.84362366414706
GART,-99.71142470783434,100.0
GCALDD,0.0134318775223363,0.0166049621267714
GF6PTA,-99.98065809636756,99.75330054837366
GHMT2,-100.0,100.0
GK1,0.0679679865315705,100.0
GLCP,-25.05114328334996,24.94885671665004
GLCS1,-25.0,25.0
GLGC,0.0,99.74415550490522
GLNS,0.0,100.0
GLU5K,-100.0,100.0
GLUDC,-100.0,100.0
GLUDy,-100.0,100.0
GLUN,-100.0,100.0
GLUPRT,0.1321989563127271,0.1634290261453088
GLUR,-0.0091659390939469,-0.0074143963923773
GLUSy,-100.0,100.0
GLXCL,0.0,99.9926005144466
GLYATi,-100.0,100.0
GLYCDx,-100.0,100.0
GLYCK,0.0,99.85754150699825
GLYCL,-99.54228772556436,99.99785792776852
GLYCLTDx,-100.0,100.0
GLYCLTDy,-100.0,100.0
GLYCTO2,0.0,60.66469885594928
GLYCTO3,-100.0,100.0
GLYCTO4,-100.0,100.0
GLYK,-100.0,100.0
GLYOX,-100.0,100.0
GMHEPAT,0.0067696662712575,0.008368900911909
GMHEPK,0.0067696662712575,0.008368900911909
GMHEPPA,0.0067696662712575,0.008368900911909
GMPR,-100.0,99.92520861958016
GMPS2,-99.92520861958016,100.0
GND,-100.0,100.0
GNK,0.0,0.0
GPDDA2,-100.0,99.9614266729799
GPDDA4,-100.0,99.9880112173446
GSNK,-99.32425180119756,100.0
GSPMDA,0.0,100.0
GSPMDS,0.0,99.01495425692848
GTPCI,0.0134318775223363,0.0166049621267713
GTPCII2,2.686375504466043e-06,3.3209924256150103e-06
GUAD,-99.7326228745141,100.0
GUAPRT,-100.0,100.0
HEX1,-100.0,100.0
histd,0.024177379540518,0.0298889318279265
HISTP,0.0241773795401307,0.0298889318282817
HPPK2,0.0134318775223363,0.016604962126776
HPYRI,-100.0,100.0
HPYRRx,-100.0,100.0
HPYRRy,-100.0,100.0
HSDy,-99.88256970784062,99.9515135105903
HSK,-100.0,99.83408321843092
HSST,0.0392210823650884,0.0484864894102372
HSTPT,0.0241773795401414,0.0298889318282817
HXPRT,-100.0,100.0
HYPOE,0.0,100.0
ICDHyr,-99.701651136474,100.0
ICL,-100.0,100.0
IDOND,-100.0,100.0
IDOND2,-100.0,100.0
IG3PS,0.0241773795401059,0.0298889318283386
IGPDH,0.0241773795401059,0.0298889318283386
IGPS,0.0145064277241166,0.017933359096913
ILETA,-0.0916593909389149,-0.0741439639243282
IMPC,-0.1933179579730429,-0.1563763509699356
IMPD,-99.90754024988657,100.0
INSK,-99.99811953714688,99.7245599691894
IPDDIi,0.0,0.0
IPDPS,0.0,0.0
IPMD,0.1149768715911534,0.1421384758051626
IPPMIa,-0.1421384758051626,-0.1149768715911534
IPPMIb,-0.1421384758051626,-0.1149768715911534
IPPS,0.1149768715911534,0.1421384758051626
KARA1i,0.2229850164861594,0.2756619651597136
KARA2i,0.0741439639232339,0.0916593909398599
KAS14,-99.99900000000044,99.99925000374992
KAS15,-100.0,100.0
KAS16,0.0090262216950083,0.0111585345492126
KDOCT2,0.0112827771185306,0.0139481681865951
KDOPP,0.0112827771185306,0.0139481681865951
KDOPS,0.0112827771185306,0.0139481681865951
LDHD,-100.0,100.0
LDHD2,0.0,60.66471040647306
LEUTAi,0.1149768715928019,0.1421384758038186
LGTHL,-100.0,100.0
L-LACD2,0.0,60.664709506272814
L-LACD3,-60.66472291616691,0.0
LPADSS,0.0022565554237525,0.0027896336373027
LPLIPA1,-99.99959000133134,99.99930951356748
LPLIPA2,-100.0,99.9997321307882
LPLIPA3,-99.99950000029337,99.99926377608956
LPLIPA4,-99.99911477158582,99.9995721777355
LPLIPA5,-99.99952616063656,99.99949999887195
LPLIPA6,-99.99946425102304,99.999000005575
LPSSYNEC,0.0022565554237525,0.0027896336373027
MACPD,-100.0,100.0
MALS,-100.0,100.0
MCITD,-0.0916593909399665,100.0
MCITL2,-0.091659392020972,100.0
MCITS,-0.0916593909399665,99.03499535863682
MCOATA,-96.88121219391964,99.86807544297857
MDH,-100.0,100.0
MDH2,0.0,60.66469885594521
MDH3,-99.98502700379991,100.0
MDRPD,0.0018804628531228,0.0023246946977479
ME1,-100.0,100.0
ME2,-100.0,100.0
METAT,0.0018804628531228,0.0023246946977479
METS,0.0392210823650884,0.0484864894102372
MGSA,-100.0,100.0
MICITD,-0.0916593909399665,99.20936967261494
MLTG2,-100.0,100.0
MLTG3,-100.0,100.0
MLTG4,-100.0,100.0
MLTG5,-99.3840261401594,99.82920024542736
MLTP1,-100.0,100.0
MLTP2,-100.0,100.0
MLTP3,-100.0,100.0
MMCD,-99.71072971225296,100.0
MME,-100.0,100.0
MMM2,-100.0,100.0
MOAT,0.0022565554237525,0.0027896336373027
MOAT2,0.0022565554237525,0.0027896336373027
MOHMT,1.5849615476362655e-05,1.9593855309613103e-05
MTAN,0.0018804628531228,0.0023246946977479
MTHFC,-99.71142470783516,100.0
MTHFD,-98.9210526299018,100.0
MTHFR2,0.052652959887439,0.0650914515494097
MTRI,0.0018804628531228,0.0023246946977479
MTRK,0.0018804628531228,0.0023246946977479
NACODA,-100.0,100.0
NADDP,-100.0,100.0
NADH10,-100.0,100.0
NADH5,0.0,60.66487235184471
NADH9,-100.0,100.0
NADK,0.0,100.0
NADPPPS,-100.0,99.99982398740168
NADS1,-100.0,100.0
NAMNPP,-100.0,100.0
NDPK1,-99.78101526527756,100.0
NDPK2,-99.88019866664038,100.0
NDPK3,-100.0,100.0
NDPK4,-99.99179714870944,100.0
NDPK5,-100.0,100.0
NDPK6,-99.89813264087086,100.0
NDPK7,-100.0,100.0
NDPK8,-100.0,100.0
NMNAT,-100.0,100.0
NMNDA,-100.0,100.0
NMNN,0.0,100.0
NNAM,-0.0009066496230047,100.0
NNAT,-100.0,100.0
NNDPR,-0.0008616331387401,0.0009066309321234
NTD1,-100.0,99.85840338246727
NTD10,-100.0,100.0
NTD11,-100.0,100.0
NTD2,-100.0,100.0
NTD3,-100.0,100.0
NTD4,-100.0,100.0
NTD5,-100.0,100.0
NTD6,-100.0,100.0
NTD7,-100.0,99.36377743245546
NTD8,-0.0084353207625866,99.92520861958069
NTD9,-100.0,100.0
NTPP1,-100.0,100.0
NTPP2,-100.0,100.0
NTPP3,-100.0,100.0
NTPP4,-100.0,100.0
NTPP5,-100.0,100.0
NTPP6,-100.0,100.0
NTPP7,-100.0,99.99179714870944
NTPP8,-100.0,100.0
NTPTP1,-100.0,100.0
NTPTP2,-100.0,100.0
OBTFL,-100.0,99.90834060906111
OCBT,-99.90668011284843,100.0
OMCDC,0.1149768715928019,0.1421384758038186
OMPDC,0.0846476921458929,0.1046444713228993
ORNDC,-99.98605183181364,100.0
ORNTA,-100.0,100.0
ORPT,-0.1046444713229135,-0.0846476921457792
P5CD,-100.0,99.93025915906824
P5CR,-99.94358611440543,99.19091748888547
PANTS,1.584961547636371e-05,1.95938553096066e-05
PAPAEC,-0.0055792672746122,99.99548688915245
PAPPT3,0.0074143963924009,0.0091659390939233
PAPSR,0.0626083988695357,0.077398717366064
PASYNEC,-99.95501715759904,100.0
PDH,-100.0,100.0
PDXPP,0.0,100.0
PEPTEC,0.0045131108475051,0.0055792672746055
PFK,-99.39266713560578,100.0
PFL,-100.0,100.0
PGAMT,-0.0239111454626417,-0.0193419036320603
PGCD,-100.0,100.0
PGI,-100.0,99.82920024542604
PGK,-99.30492990144852,100.0
PGL,-100.0,100.0
PGM,-100.0,99.94188671796245
PGMT,-100.0,100.0
PGPPEC,-99.98801121734462,100.0
PGSAEC,-99.98801121734462,100.0
PHETA1,-0.0584494666857011,-0.0472802088792683
PLIPA1,-100.0,99.98801121734458
PLIPA2,-100.0,99.51784295958645
PMDPHT,2.6863755044611746e-06,3.3209924253542664e-06
PNTK,1.584961547636371e-05,1.9593855309613103e-05
POX,-100.0,100.0
ppa,-99.22757725704771,100.0
PPAKr,-99.0300370638391,99.5674390103593
PPC,0.0,100.0
PPCDC,1.584961547636371e-05,1.9593855309613103e-05
PPCK,-99.94652593703825,100.0
PPCSCT,-100.0,100.0
PPM,-100.0,99.38395366395493
PPM2,-100.0,99.88932493853297
PPNCL2,1.584961547636371e-05,1.9593855309613103e-05
PPND,0.0351915191089968,0.0435050007717467
PPNDH,0.0472802088792683,0.0584494666857011
PPS,-100.0,99.42832023798732
PPTGS,0.0074143963924009,0.0091659390939233
PRAGSr,0.1321989563127311,0.1634290261448694
PRAIi,0.0145064277241166,0.017933359096913
PRAIS,0.1321989714319045,0.1634290261448625
PRAMPC,0.0241773795401059,0.0298889318283386
PRASCS,0.1321989563127404,0.1634290261448635
PRATPP,0.0241773795401059,0.0298889318283386
PRFGS,0.1321989563127062,0.1634290261448638
PRMICIi,0.0241773795401059,0.0298889318283386
PROD2,-100.0,99.94358611440543
PRPPS,-99.74185567067292,100.0
PSCVT,0.1104100332333928,0.1364927886820603
PSDEC,-99.96229013101046,99.9991365419694
PSERT,-100.0,100.0
PSPL,-100.0,100.0
PSSAEC,-99.96142667297988,100.0
PTA2,-100.0,99.5674390103585
PTAr,-100.0,100.0
PTPATi,1.5849615476334984e-05,1.9593855309613103e-05
PTRCTA,-100.0,99.98605183181364
PUNP1,-100.0,100.0
PUNP2,-100.0,100.0
PUNP3,-100.0,100.0
PUNP4,-100.0,100.0
PUNP5,-100.0,100.0
PUNP6,-0.0082028512906475,99.91841503877836
PUNP7,-100.0,100.0
PYAM5PO,-100.0,100.0
PYDAMK,-100.0,100.0
PYDXK,0.0,100.0
PYDXNK,0.0,100.0
PYDXPP,0.0,100.0
PYK,0.0,100.0
PYNP2r,-100.0,100.0
QULNS,-0.0009066309321216,0.0009066309321216
RBFK,2.686375504461174e-06,3.3209924253542664e-06
RBFSa,5.372751008932086e-06,5.529985413568882e-06
RBFSb,2.686375504461175e-06,2.802182128119117e-06
RNDR1,-100.0,100.0
RNDR2,-99.61831569340494,100.0
RNDR3,-100.0,100.0
RNDR4,-100.0,100.0
RNTR1,-99.993364652504,100.0
RNTR2,-100.0,100.0
RNTR3,-100.0,100.0
RNTR4,-100.0,100.0
RPE,-100.0,100.0
RPI,-100.0,99.74361296417948
S7PI,0.0067696662712575,0.008368900911909
SADH,-100.0,99.90668011284843
SADT2,0.0626083988695357,0.077398717366064
SDPDS,0.0949902378379192,0.1174302921605268
SDPTA,-0.1174302921605268,-0.0949902378379192
SERAT,-99.92260128263467,100.0
SERDL,0.0,100.0
SGDS,-100.0,99.90668011284843
SGSAD,-100.0,99.90668011284843
SHK3Dr,0.1104100332335543,0.1364927886820604
SHKK,0.1104100332335543,0.1364927886821594
SHSL1,0.0392210823650884,0.0484864894102372
SOTA,-100.0,99.90668011284843
SPMS,0.0018804628531228,0.0023246946977479
SSALx,-100.0,100.0
SSALy,-100.0,100.0
SUCD,-100.0,100.0
SUCOAS,-99.56087653235112,100.0
SULR,-0.077398717366064,-0.0626083988695357
TALA,-49.93593805611553,50.06406194388447
TDSK,0.0022565554237525,0.0027896336373027
TESTAKGDH,-100.0,100.0
TESTNADTRHD,-100.0,100.0
THDPS,0.0949902378379192,0.1174302921605268
THRAr,-100.0,100.0
THRD,-100.0,99.58667903981518
THRDL,-99.92585603607564,99.78487370687267
THRS,-100.0,99.83408321843092
TKT1,-49.92756915520372,50.07243084479628
TKT2,-50.07243084479627,49.92756915520372
TMAOR1,0.0,0.0
TMAOR2,0.0,0.0
TMDK1,-100.0,100.0
TMDS,0.0066353474960294,0.0082028512906262
TPI,-99.30492990144931,100.0
TRDR,-99.88932493853298,100.0
TRE6PH,-100.0,100.0
TRE6PP,0.0,100.0
TRE6PS,0.0,99.18106824260144
TREH,-100.0,100.0
TREHe,0.0,0.0
TRPAS1,-100.0,99.92260128263464
TRPAS2,-0.0179333593084578,100.0
TRPS1,-99.98206664090328,100.0
TRPS2,0.0,100.0
TRPS3,-99.98549357227569,0.0179333590969434
TRSAR,-100.0,100.0
