cond,rxn,mean,sd
WT-Ace_I,biomass_EX,0.300368396491386,0.0158654230204024
WT-Ace_I,EX_oro,0.0907393997789574,0.0253133368500904
WT-Ace_I,EX_ac,-16.5227915396461,2.45030244781681
WT-Ace_I,EX_co2,15.6656132091936,3.44651705424434
WT-Ace_I,EX_o2,-15.9534077958201,3.8655818844089
WT-Fruc_I,EX_fru,-9.27968462295591,1.34559949812777
WT-Fruc_I,biomass_EX,0.57311175363859,0.0233243738448201
WT-Fruc_I,EX_ac,2.85378421849927,0.657689598100285
WT-Fruc_I,EX_co2,13.4773012051647,0.87674096517985
WT-Fruc_I,EX_oro,0.250841785950352,0.0443456389231124
WT-Fruc_I,EX_o2,-14.499521611863,0.920938025691319
WT-Fum_I,EX_succ,1.36189066030745,0.20537542489997
WT-Fum_I,EX_oro,0.25119509687219,0.0345545141920617
WT-Fum_I,EX_co2,21.5093691386652,1.2787929872644
WT-Fum_I,EX_o2,-16.2436168940686,1.18696692536699
WT-Fum_I,biomass_EX,0.42325036647005,0.0273267260121812
WT-Fum_I,EX_fum,-16.0581070002686,2.05621628943041
WT-Gal_I,biomass_EX,0.452581235466492,0.0552232439042288
WT-Gal_I,EX_gal,-7.85058104531224,0.97670405728497
WT-Gal_I,EX_o2,-16.2899459503558,1.32213673191451
WT-Gal_I,EX_ac,3.71587947711287,0.557812912541758
WT-Gal_I,EX_oro,0.278945926939608,0.0367507720234207
WT-Gal_I,EX_co2,12.4488981849124,1.26407358288553
WT-Glc_I,EX_o2,-17.3794484269415,4.13119926305917
WT-Glc_I,EX_co2,12.9471873631818,0.490718158597268
WT-Glc_I,EX_glc,-10.725831070803,0.711512238982238
WT-Glc_I,biomass_EX,0.68635959531714,0.00776010651569252
WT-Glc_I,EX_ac,10.8360008626595,1.00496623241025
WT-Glc_I,EX_oro,0.308645040054016,0.023380420996766
WT-GlyCAA_II,biomass_EX,0.788059758602328,0.0450887831109462
WT-GlyCAA_II,EX_oro,0.24491637235259,0.022004307062551
WT-GlyCAA_II,EX_ac,3.67707263095856,1.05812992579098
WT-GlyCAA_II,EX_val-L,0.479772713701022,0.170724673848086
WT-GlyCAA_II,EX_ile-L,0.387499489463185,0.111283486127992
WT-GlyCAA_II,EX_lys-L,0.139204637107668,0.0501228614714646
WT-GlyCAA_II,EX_his-L,0.0575211344544309,0.0274522208001812
WT-GlyCAA_II,EX_glyc,-12.8153569099576,1.21489715815669
WT-GlyCAA_II,EX_asn-L,-3.36839211211719,0.503568439759358
WT-GlyCAA_II,EX_thr-L,-1.13694102714389,0.235629659985188
WT-GlyCAA_II,EX_glu-L,-1.54415657385191,0.444024474760384
WT-GlyCAA_II,EX_pro-L,-1.60659645616809,0.369573587092253
WT-GlyCAA_II,EX_leu-L,0.0516448559402398,0.114283244648891
WT-GlyCAA_II,EX_ala-L,-0.414532487186093,0.1815733096129
WT-GlyCAA_II,EX_arg-L,-0.418987031635428,0.112175208727391
WT-GlyCAA_II,EX_o2,-19.6093487725899,3.07848578074443
WT-GlyCAA_II,EX_co2,16.8752330701436,1.98858636084014
WT-GlyCAA_II,EX_gly,-0.702717974135908,0.177698090384671
WT-Glyc_I,EX_o2,-16.2504726077447,0.498847810302469
WT-Glyc_I,EX_co2,9.79894149236861,0.183821906380622
WT-Glyc_I,biomass_EX,0.510107073073036,0.00688133962504513
WT-Glyc_I,EX_glyc,-16.3133819337109,1.40015053113999
WT-Glyc_I,EX_oro,0.211854757118014,0.0212973685246604
WT-Glyc_I,EX_ac,0.998172521588502,0.105567900580978
WT-Mann_I,EX_man,-6.42848030431399,1.48455472746958
WT-Mann_I,biomass_EX,0.474736619797554,0.0156123413668139
WT-Mann_I,EX_for,0.609830509856633,0.188771844863652
WT-Mann_I,EX_co2,10.3675527632549,0.461563200279702
WT-Mann_I,EX_ac,0.720576795763137,0.382717296301075
WT-Mann_I,EX_o2,-10.8403821895621,1.36153975583846
WT-Mann_I,EX_oro,0.229802912271017,0.0592234211633575
WT-Pyr_I,EX_ac,15.3594678117644,1.3456266664145
WT-Pyr_I,EX_oro,0.141920335608785,0.0185456056344791
WT-Pyr_I,EX_pyr,-37.0587690980822,2.94816592350261
WT-Pyr_I,EX_lac-D,2.98563581174396,0.746668085350885
WT-Pyr_I,biomass_EX,0.419570414679897,0.0254147607902817
WT-Pyr_I,EX_co2,31.1023601234126,0.791578690482849
WT-Pyr_I,EX_o2,-25.7594191588207,6.609645260766
WT-Succ_I,EX_co2,19.4968339989585,1.24965250775192
WT-Succ_I,EX_o2,-23.066197257877,1.98612462865133
WT-Succ_I,biomass_EX,0.447088674959498,0.0318640298705889
WT-Succ_I,EX_succ,-15.7248237310233,1.21324228035824
WT-Succ_I,EX_mal-L,0.466307882755008,0.0946420757611348
WT-Succ_I,EX_fum,1.08031586704959,0.106060141645524
WT-Succ_I,EX_oro,0.286767886383135,0.0226651911462666
dptsG-Glc_I,biomass_EX,0.26091031046846,0.0140873763296932
dptsG-Glc_I,EX_co2,9.18864866517805,0.763411516898747
dptsG-Glc_I,EX_o2,-8.76243077117306,1.83071126583631
dptsG-Glc_I,EX_glc,-4.2566612974752,0.794926007267397
dptsG-Glc_I,EX_oro,0.0879023876603302,0.021530197217406
