,range
CERS224,1000.0
CERS224er,1000.0
ATPPRT,1000.0
ATPS,1000.0
ATPS3g,0.0
ATPS3m,1000.0
CERS226,1000.0
CERS226er,1000.0
CERH124_copy2,1000.0
CERH126_copy2,1000.0
CITtbm,1000.0
3MOPtm,1000.0
CITtcm,1000.0
CERS324,0.0
CERS326,0.0
CHLPCTD,1000.0
CHLSTI,1000.0
CLPNSm_SC,0.0
3OPHB5Hm,0.0
CMPN,1000.0
CHLt2,1000.0
CHOLK,1000.0
CHORM,1000.0
CHORS,1000.0
CHRPL,1000.0
CO2t,1000.0
CO2tg,1000.0
CO2tm,1000.0
CO2tn,1000.0
CO2tp,1000.0
CHTNDA,0.0
CHTNS,0.0
CITt2r,1000.0
CO2tv,1000.0
COAHLp,0.0
3OPHB_5tm,0.0
COAtim,1000.0
CITtam,1000.0
CITtap,1000.0
COAtn,0.0
4ABUTNtm,0.0
COUCOAFm,1000.0
CPPPGO,0.0
4ABUTtm,0.0
CRNCARtm,1000.0
CRNCARtp,1000.0
DCTPD,1000.0
DCYTD,1000.0
CRNt,0.0
4ABZt,1000.0
CRNtim,1000.0
DCYTt2,1000.0
CRNtp,1000.0
4ABZtm,0.0
CSNATm,1000.0
DDPA,1000.0
DDPAm,1000.0
DESAT14,1000.0
DESAT16,1000.0
DESAT18,1000.0
CSNATp,1000.0
CSNATr,1000.0
CSND,1000.0
CSNt2,1000.0
CSm,1000.0
DESAT18_2,1000.0
DGDPtn,1000.0
CSp,1000.0
DGGH,0.0
4H2OGLTtm,1000.0
DGK1,1000.0
DGSNt2,1000.0
CTPS1,1000.0
CTPS2,1000.0
CTPtm,1000.0
DHAD1m,1000.0
4H2OGLTtp,1000.0
DHAD2m,1000.0
DHAK,1000.0
CYOOm,1000.0
CYOR_u6m,1000.0
DHAPtm,1000.0
DHFR,1000.0
CYSS,1000.0
4HBZCOAFm,1000.0
CYSTGL,1000.0
CYSTL,1000.0
CYSTLp,1000.0
CYSTRS,0.0
CYSTS,1000.0
DHFRim,0.0
DHFS,0.0
DHFtm,0.0
DHNPAm,0.0
DHNPTtm,0.0
DHORD4i,1000.0
DHORDfum,1000.0
CYSTtp,1000.0
CYSt2r,1000.0
CYTD,1000.0
CYTDK2,1000.0
DHORDi,1000.0
DHORTS,1000.0
4HBZFm,1000.0
DHPSm,1000.0
DHPTtm,0.0
DHQS,1000.0
DHQTi,1000.0
CYTDt2,1000.0
CYTK1,1000.0
CYTK2,1000.0
DADA,1000.0
DADK,1000.0
DIAT,1000.0
DINSt2,1000.0
DADNt2,1000.0
DIPS,0.0
DADPtn,0.0
4HBZtm,1000.0
DAGCPT_SC,1000.0
DAGPYP_SC,1000.0
DKMPPD2,1000.0
DMATT,333.33333333333337
DNMPPA,1000.0
DNTPPA,1000.0
DOLK,0.0
DOLPMMer,31.32921521928456
DANNt2,0.0
DASYN_SC,1000.0
DASYNm_SC,1000.0
DB4PS,1000.0
DBTS,0.0
DCDPtn,1000.0
DCMPDA,1000.0
DOLPMTcer,31.329215219284556
DOLPt2er,31.329215219284553
4HGLSDm,1000.0
DPCOAK,1000.0
DPCOAKm,1000.0
DPGM,0.0
DPMVD,1000.0
ECOAH4p,1000.0
ECOAH5p,1000.0
DPR,1000.0
4HPRO_LTtm,0.0
DPRm,1000.0
ECOAH6p,1000.0
DRBK,0.0
ECOAH7p,1000.0
ECOAH8p,1000.0
DROPPRy,500.0
4HTHRS,0.0
DRTPPD,500.0
EHGLAT,1000.0
EHGLATm,1000.0
EHGLATp,1000.0
ENO,1000.0
EPGALURSe,1000.0
EPISTAT_SC,1000.0
DTMPK,1000.0
DTTPt,1000.0
DUMPtn,1000.0
DURIK1,1000.0
DURIPP,1000.0
DURIt2,1000.0
DUTPDP,1000.0
EPISTESTH_SC,1000.0
EPISTESTH_SCe,1000.0
EPISTt,1000.0
DXHPScm,0.0
D_LACDcm,1000.0
EPMGH,0.0
4MOPDC,1000.0
ERGSTAT_SC,1000.0
ERGSTESTH_SC,1000.0
ERGSTESTH_SCe,1000.0
ERGSTGLCT,0.0
D_LACDm,1000.0
D_LACt2,1000.0
D_LACt2m,1000.0
D_LACtm,1000.0
E4HGLUtm,1000.0
ERGSTt,1000.0
ERGSTter,1000.0
ERGTETROLter,1000.0
E4HGLUtp,1000.0
E4Ptm,1000.0
ETHAK,1000.0
5AOPt2,1000.0
ETHAPT_SC,1000.0
ETHAt,1000.0
ETOHt,1000.0
ETOHtm,1000.0
