,range
NH4tn,0.0
NH4tp,1000.0
NMNAT,1000.0
NMNATm,0.0
NMNTP,1000.0
NTD4,1000.0
G12MT2g,0.0
NTD5,1000.0
NMNt2m,0.0
NMNt2p,0.0
NNAM,1000.0
G13MTg,0.0
NNAMrm,0.0
NTD6,1000.0
NTD7,1000.0
NNATr,1000.0
NNATm,0.0
NNDPR,1000.0
NTD8,1000.0
NTD9,1000.0
NTP3,1000.0
G16MTg,0.0
G3PCt,1000.0
NNDPRm,0.0
G3PD1ir,1000.0
NNMT,0.0
NTP4,1000.0
NTRLASE,0.0
NTRLASE2,0.0
NTRLASE3,0.0
PEPDt3,0.0
G3PD1irm,1000.0
PETHCT,1000.0
PETOHM_SC,1000.0
PEtg_SC,10.0
O2t,1000.0
O2ter,166.66666666666663
O2tm,1000.0
OAAt,1000.0
PEtm_SC,10.0
OAAt2m,1000.0
PEtv_SC,10.0
OBDHm,1000.0
PPM,1000.0
OCBT,1000.0
OCDCAt,1000.0
OCDCEAt,1000.0
OCDCYAt,1000.0
OHACT1,1000.0
PFK,1000.0
PFK26,1000.0
PFK_2,0.0
PFK_3,1000.0
PGAMT,0.0
OHACT2,1000.0
PGCD,1000.0
PPNCL2,0.0
PGI,1000.0
OHACT3,1000.0
OHACT4,1000.0
PGK,1000.0
PGL,1000.0
PGM,1000.0
PGMT,1000.0
PGPPAm_SC,0.0
OHACT5,1000.0
OHPBAT,0.0
OMCDC,1000.0
OMCDCm,0.0
OMPDC,1000.0
PHCDm,1000.0
PHCHGSm,1000.0
PHEACt,1000.0
ORNDC,1000.0
PPND,1000.0
ORNTA,1000.0
ORNTACim,1000.0
ORNt2r,1000.0
ORNt3m,1000.0
PHETA1,1000.0
PHETRS,0.0
PHETRSm,0.0
PHEt2m,0.0
PHEt2r,1000.0
ORPT,1000.0
OXAGm,1000.0
PI35BP5P_SC,1000.0
PPND2,1000.0
PI3P4K_SC,0.0
PI3P5K_SC,1000.0
OXO2Ctm,0.0
P5CDm,1000.0
PPNDH,1000.0
P5CR,1000.0
PACALDt,1000.0
PACALDtm,1000.0
PAK_SC,1000.0
PAN4Ptm,1000.0
PI45BP5P_SC,1000.0
PI45BPP_SC,0.0
PI4P5K_SC,1000.0
PIN3K_SC,0.0
PIN4K_SC,0.0
PIN4Kn_SC,0.0
PINOS_SC,1000.0
PIt2m,1000.0
PANTS,1000.0
PANTtm,1000.0
PAPSR,1000.0
PAPt,1000.0
PIt2n,0.0
PIt2p,50.0
PIt2r,1000.0
PAPtm,1000.0
PIt2v,0.0
PAtm_SC,10.0
PPPG9tm,0.0
PC,1000.0
PCDAGAT,10.0
PIt5m,1000.0
PLBP1I_SCe,1000.0
PLBPC_SC,1000.0
PDE1,1000.0
PLBPC_SCe,1000.0
PPPGOm,0.0
PLD_SC,1000.0
PMANM,31.329215219284553
PMDPHT,500.0
PMETM_SC,1000.0
PDE2,0.0
PDE3,0.0
PDE4,0.0
PDE5,0.0
GCC2cm_copy2,1000.0
PDHm,1000.0
PDX5POi,1000.0
PENDPtm,0.0
PMEVK,1000.0
PMI12346PH,1000.0
PMI12346PS,1000.0
PEPAT,0.0
PPTTm,0.0
PMI1346PH,1000.0
PMI1346PS,1000.0
PMPK,1000.0
PPYRDC,1000.0
PNP,1000.0
PNTK,0.0
PNTOt2,999.9999999999973
PYRDC2,1000.0
PYRt,1000.0
POLYAO,1000.0
PRAGSr,1000.0
POLYAO2,1000.0
POLYAO3,1000.0
PYRt2,1000.0
PYRt2m,1000.0
PRAIS,1000.0
PYRt2p,1000.0
QUILSYN,1000.0
PPA,1000.0
PPAm,1000.0
PPBNGS,0.0
PPCDC,0.0
PPCK,1000.0
PRAIi,1000.0
QULNS,1000.0
PRAMPC,1000.0
QULNtm,0.0
RAFGH,0.0
RBFK,0.0
SLCBK2,1000.0
SLFAT,1000.0
RBFKm,0.0
PRASCSi,1000.0
RBFSa,1000.0
RBFSb,500.0
SO3ti,1000.0
SO4ti,1000.0
RBK,1000.0
SPH1Pter,1000.0
RIBFLVt2,500.03839079473585
PRATPP,1000.0
RIBFLVtm,0.0
SPHPL,0.0
RIBt2,1000.0
PRFGS,1000.0
SPMDAT1,1000.0
RNDR1,1000.0
PRMICI,1000.0
RNDR1n,0.0
SPMDt3i,1000.0
SPMDtex2,1000.0
RNDR2,1000.0
RNDR2n,1000.0
RNDR3,1000.0
RNDR3n,1000.0
SPMS,1000.0
SPRMS,1000.0
SPRMt2i,1000.0
SQ23EPXter,166.66666666666666
SQLEr,166.66666666666666
SQLErx,0.0
RNDR4,1000.0
RNDR4n,1000.0
SQLS,166.66666666666666
RNMK,1000.0
PRO1xm,1000.0
RNTR1,1000.0
RNTR2,1000.0
SQLter,166.66666666666666
SRB_Lt,1000.0
RNTR3,1000.0
PROTRS,0.0
RNTR4,1000.0
RPE,1000.0
SSALy,1000.0
PROt2r,1000.0
RPI,1000.0
SACCD1,1000.0
SUCCt2r,1000.0
SACCD2,1000.0
PROtm,1000.0
SADT,1000.0
SAM24MT,1000.0
SBPP1er,1000.0
SBPP2er,1000.0
SBTD_D2,1000.0
SBTD_L,1000.0
SUCCtm,1000.0
SUCD1m,1000.0
SUCD2_u6m,1000.0
SUCD3_u6m,1000.0
SUCFUMtm,1000.0
SUCOASm,1000.0
SUCRe,1000.0
SUCRt2,0.0
SBTR,1000.0
SBT_Dt,1000.0
SBT_Lt,1000.0
SERAT,1000.0
SULR,1000.0
T4HCINNMFM,1000.0
SERPT,0.0
PRPPS,1000.0
SERTRS,0.0
SERt2m,1000.0
SERt2r,1000.0
SFGTHi,0.0
TAGL_SC,1000.0
TALA,1000.0
TAUDO,0.0
TAURt,0.0
SHCHD,0.0
SHCHF,0.0
SHK3Dr,1000.0
SHKK,1000.0
SHSL1,1000.0
TCHOLAabcv,0.0
THFATm,1000.0
THFGLUS,0.0
THIORDXi,1000.0
THIORDXm,1000.0
THIORDXni,1000.0
THIORDXp,1000.0
SHSL4r,1000.0
SLCBK1,1000.0
PRPPtm,0.0
THMDPe,1000.0
THMDt2,1000.0
THMP,1000.0
PSCVT,1000.0
THMPPt2m,0.0
THMPe,1000.0
THRt2r,1000.0
THYMt3r,1000.0
THZPSN1_SC,1000.0
THZPSN2_SC,1000.0
THMt2,1000.0
PSERDg_SC,1000.0
THRA2,1000.0
TKT1,1000.0
PSERDm_SC,1000.0
TKT2,1000.0
TMDK1,1000.0
TMDPK,1000.0
THRA,1000.0
THRD_L,1000.0
THRD_Lm,1000.0
THRS,1000.0
THRTRS,0.0
THRTRSm,0.0
THRt2m,1000.0
URIK1,1000.0
TMDPP,1000.0
TMDPPK,0.0
TMDS,1000.0
TMN,1000.0
TMPK,1000.0
TMPPP,1000.0
TPI,1000.0
TRDOXtp,1000.0
TRDR,1000.0
PSERDv_SC,1000.0
TRDRDtp,1000.0
TRDRm,1000.0
TRE6PP,1000.0
URIK2,1000.0
URIt2,1000.0
UTPH1,1000.0
UTPtm,0.0
TRE6PS,1000.0
TREH,1000.0
PSERS_SC,1000.0
TREHv,515.625
VALTA,1000.0
VALTAim,1000.0
VALTRS,0.0
TREt2,1000.0
TREt2v,515.625
VALTRSm,0.0
PSERSm_SC,1000.0
VALt2m,1000.0
VALt2r,1000.0
XANt,1000.0
XPPT,1000.0
XTSNt2,1000.0
TRIGS_SC,1000.0
TRPO2,1000.0
TRPS1,1000.0
TRPTA,1000.0
TRPTRS,0.0
TRPTRSm,0.0
TRPt2m,0.0
TRPt2r,1000.0
TTCCOAtx,0.0
XYLK,1000.0
XYLR,1000.0
XYLTD_D,1000.0
XYLTt,1000.0
TTDCAtr,1000.0
TYRNFT,1000.0
PSERT,1000.0
TYRTAi,1000.0
TYRTAim,1000.0
TYRTAip,1000.0
XYLt,1000.0
YUMPS,0.0
ZYMSTAT_SC,1000.0
ZYMSTESTH_SC,1000.0
TYRTRS,0.0
TYRTRSm,0.0
ZYMSTESTH_SCe,1000.0
TYRt2m,1000.0
PSPH1Pter,1000.0
TYRt2p,1000.0
TYRt2r,1000.0
TYRt6,1000.0
TYRt7,1000.0
UDPACGLP,0.0
ZYMSTt,1000.0
SERD_L,1000.0
UDPG4E,1000.0
PSPHPL,0.0
UDPGALt2g,0.0
UGLT,1000.0
UGLYCH,1000.0
PSPHS,1000.0
UMPK,1000.0
PSP_L,1000.0
UMPKn,1000.0
UMPtn,1000.0
PStg_SC,10.0
PStm_SC,20.0
UNK3,1000.0
UPP3MT,0.0
PStv_SC,10.0
UPP3S,0.0
UPPDC1,0.0
UPPRT,1000.0
PTD1INOtn_SC,0.0
URAt2,1000.0
PTD4INOtn_SC,0.0
UREA2t2,1000.0
UREASE,1000.0
PTE10x,1000.0
URIDK2r,1000.0
URIDK2rn,1000.0
PTE11x,1000.0
PTE12x,1000.0
PTE2x,1000.0
PTE7x,1000.0
PTE8x,0.0
PTE9x,1000.0
PTPATi,1000.0
PTPATim,1000.0
PTRCt3i,1000.0
PTRCtex2,1000.0
PUNP1,1000.0
PUNP1m,0.0
PUNP2,1000.0
PUNP3,1000.0
PUNP3m,0.0
PUNP4,1000.0
PUNP5,1000.0
PUNP6,1000.0
PUNP7,1000.0
PYAM5PO,1000.0
PYDAMK,1000.0
PYDXK,1000.0
PYDXNK,1000.0
PYDXNO,1000.0
PYDXO,1000.0
PYK,1000.0
PYNP2r,1000.0
PYR5CDm,1000.0
PYRDC,1000.0
