,0
URIDK2rn,0
PTE11x,0
PTE12x,0
PTE2x,0
PTE7x,0
PTE8x,0
PTE9x,0
PTPATi,0
PTPATim,0
PTRCt3i,0
PTRCtex2,2
PUNP1,15
PUNP1m,0
PUNP2,0
PUNP3,4
PUNP3m,0
PUNP4,0
PUNP5,5
PUNP6,0
PUNP7,1
PYAM5PO,0
PYDAMK,0
PYDXK,0
PYDXNK,0
PYDXNO,0
PYDXO,0
PYK,1
PYNP2r,5
PYR5CDm,0
PYRDC,1
biomass_ce,1
biomass_EX,1
charge_ce,1
EX_charge,0
charge_cm,6
charge_cx,0
charge_cr,1
charge_cv,0
charge_cg,0
charge_cn,0
H_cm,20
H_cx,0
H_cr,1
H_cv,11
H_cg,3
H_cn,9
PIt2m0,20
