144: [-16.118095650958324, -6.907755278982137]
145: [-16.118095650958324, -6.907755278982137]
146: [-8.282374956005754, -6.02051405323828]
147: [-16.118095650958324, -6.907755278982137]
148: [-16.118095650958324, -6.907755278982137]
149: [-16.118095650958324, -6.907755278982137]
150: [-16.118095650958324, -6.907755278982137]
151: [-16.118095650958324, -6.907755278982137]
152: [-11.00818761344781, -9.38451458519183]
153: [-16.118095650958324, -6.907755278982137]
154: [-6.06776854769366, -3.3526521617575575]
155: [-16.118095650958324, -4.359456901172543]
156: [-16.118095650958324, -6.907755278982137]
157: [-16.118095650958324, -6.907755278982137]
158: [-16.118095650958324, -6.907755278982137]
159: [-16.118095650958324, -6.907755278982137]
160: [-14.014730803106048, -10.863813188483988]
161: [-16.118095650958324, -6.907755278982137]
162: [-16.118095650958324, -6.907755278982137]
163: [-16.118095650958324, -6.907755278982137]
164: [-16.118095650958324, -6.907755278982137]
165: [-16.118095650958324, -6.4734455426550355]
166: [-16.118095650958324, -6.907755278982137]
167: [-12.535104502193903, -11.022628297602601]
168: [-16.118095650958324, -6.907755278982137]
169: [-16.118095650958324, -9.42195596357264]
170: [-16.118095650958324, -6.907755278982137]
171: [-16.118095650958324, -6.907755278982137]
172: [-16.118095650958324, -6.907755278982139]
173: [-16.118095650958324, -6.111557116427143]
174: [-16.118095650958324, -6.907755278982139]
175: [-16.118095650958324, -6.907755278982137]
176: [-9.74574304066654, -8.647581608633658]
177: [-16.118095650958324, -6.907755278982137]
178: [-16.118095650958324, -6.907755278982137]
179: [-16.118095650958317, -6.907755278982137]
180: [-16.118095650958324, -9.771984684701728]
181: [-11.300842558354155, -9.134747531187578]
182: [-8.947716536129036, -5.6061569067090815]
183: [-16.118095650958324, -6.907755278982137]
184: [-16.118095650958317, -6.907755278982137]
185: [-9.330187029576408, -8.2800302890465]
186: [-16.118095650958317, -6.907755278982139]
187: [-16.118095650958324, -6.907755278982137]
188: [-16.118095650958324, -6.907755278982137]
189: [-16.118095650958324, -6.907755278982137]
190: [-16.118095650958317, -6.907755278982137]
191: [-16.118095650958324, -6.907755278982137]
192: [-10.492502191583563, -4.902752911399253]
193: [-16.118095650958324, -6.907755278982137]
194: [-16.118095650958324, -6.907755278982137]
195: [-16.118095650958317, -6.907755278982137]
196: [-16.11809569929538, -6.907755278982137]
197: [-16.118095650958324, -6.907755268049573]
198: [-16.118095650958324, -6.907755278982137]
199: [-16.118095650958324, -6.907755278982137]
200: [-12.771776205709173, -9.93416838039851]
201: [-16.118095650958324, -6.907755278982137]
202: [-16.118095650958317, -6.907755278982137]
203: [-16.118095650958324, -6.907755278982137]
204: [-16.118095650958324, -6.907755278982137]
205: [-16.11809566964773, -6.907755278982137]
206: [-16.118095650958324, -6.907755278982137]
207: [-16.118095650958324, -6.907755278982137]
